Case	Pmax(uN)	hmax(nm)	E (GPa)	sy (GPa)	Etp (GPa)	nu	C (GPa)	dP/dh (N/m)	Wp/Wt
0	880.7	80	164	1425	105	0.25	137.60625	25448.75	0.588966811
1	807.73	80	136	1425	105	0.25	132.2671875	23606.25	0.563904673
2	846.53	80	150	1425	105	0.25	114.4555664	22519.375	0.563904673
3	898.28	80	172	1425	105	0.25	140.3546875	26440	0.598449427
4	868.07	80	164	1182	105	0.25	112.6831055	23833.0625	0.592461915
5	795.77	80	136	1182	105	0.25	109.8999023	20858.75	0.545401183
6	834.09	80	150	1182	105	0.25	111.6064453	22407.125	0.570140237
7	885.63	80	172	1182	105	0.25	113.0541992	24586.5625	0.604281122
8	874.45	80	164	1303	105	0.25	114.1503906	23910.5	0.589413507
9	801.83	80	136	1303	105	0.25	111.2841797	20914.375	0.542093721
10	840.38	80	150	1303	105	0.25	131.30625	23583.125	0.566968868
11	892	80	172	1303	105	0.25	114.5483398	24673.375	0.60129823
12	884.19	80	164	1495	105	0.25	116.418457	23997.3125	0.584895707
13	811.02	80	136	1495	105	0.25	113.3886719	20988.125	0.537095135
14	849.97	80	150	1495	105	0.25	115.246582	22546.25	0.562215094
15	901.82	80	172	1495	105	0.25	116.8554688	24785.625	0.59688196
16	820.92	80	164	1425	88	0.25	100.9423828	23527.9375	0.625984252
17	760.09	80	136	1425	88	0.25	99.75097656	20673.1875	0.579040111
18	792.12	80	150	1425	88	0.25	100.3100586	22110.8125	0.603917736
19	836.18	80	172	1425	88	0.25	101.2597656	24271.375	0.637470608
20	807.56	80	164	1182	88	0.25	97.44140625	23195.75	0.631935343
12	747.76	80	136	1182	88	0.25	96.89697266	20559.6875	0.585590696
22	779.38	80	150	1182	88	0.25	97.28271484	21931.9375	0.610096524
23	822.46	80	172	1182	88	0.25	97.59277344	23873.625	0.643313467
24	814.26	80	164	1303	88	0.25	99.18457031	23360.5625	0.628901184
25	754.01	80	136	1303	88	0.25	98.33740234	20622.875	0.582287961
26	785.79	80	150	1303	88	0.25	98.77929688	22017	0.606997085
27	829.36	80	172	1303	88	0.25	99.44824219	24085.75	0.640339343
28	899.56	80	164	1495	88	0.25	120.4296875	24101.25	0.574281246
29	822.9	80	136	1495	88	0.25	116.6943359	21020.625	0.526435475
30	863.5	80	150	1495	88	0.25	118.8989258	22619.375	0.551604691
31	918.19	80	172	1495	88	0.25	121.0351563	24902.125	0.586335599
32	896.06	80	164	1425	110	0.25	119.6191406	24071.25	0.575894296
33	819.65	80	136	1425	110	0.25	115.9448242	21005	0.52819747
34	860.1	80	150	1425	110	0.25	118.1152344	22591.25	0.553282468
35	914.67	80	172	1425	110	0.25	120.2124023	24873.0625	0.587921847
36	883.44	80	164	1182	110	0.25	116.7211914	23954.375	0.581868109
37	807.9	80	136	1182	110	0.25	113.2421875	20908.75	0.534652139
38	847.79	80	150	1182	110	0.25	115.3027344	22480	0.559478127
39	902.03	80	172	1182	110	0.25	117.2851563	24730.4375	0.59375
40	889.81	80	164	1303	110	0.25	118.1811523	24016.6875	0.578827639
41	813.85	80	136	1303	110	0.25	114.6069336	20965.625	0.531346852
42	854.01	80	150	1303	110	0.25	116.7211914	22538.125	0.556363329
43	908.41	80	172	1303	110	0.25	118.7597656	24812.375	0.590740814
44	899.56	80	164	1495	110	0.25	120.4296875	24101.25	0.574281246
45	822.9	80	136	1495	110	0.25	116.6943359	21020.625	0.526435475
46	863.5	80	150	1495	110	0.25	118.8989258	22619.375	0.551604691
47	918.19	80	172	1495	110	0.25	121.0351563	24902.125	0.586335599
48	980.8	80	203	1495	110	0.25	122.6074219	27806.375	0.627397663
49	995.01	80	203	1764	110	0.25	126.3818359	28112.1875	0.62198072
50	1044.7	80	203	1425	130	0.25	138.4204102	28225.625	0.591261999
51	1061.3	80	203	1764	130	0.25	142.3583984	28365	0.584446598
52	121.95	80	14	1425	9	0.25	19.053125	2713.5625	0.408275825
53	84.499	80	14	122	9	0.25	13.20265625	2733.875	0.592959381
54	118.24	80	14	1425	9	0.2	18.475	2667.1875	0.425499986
55	82.216	80	14	122	9	0.2	12.8453125	2691.6875	0.603166476
56	126.49	80	14	1425	9	0.3	19.764.0625	2783.4375	0.39198403
57	87.215	80	14	122	9	0.3	13.62734375	2798.9375	0.583661865
