Model,E,nu,sigma,Etp
0,164,0.25,1425,105
1,136,0.25,1425,105
2,150,0.25,1425,105
3,172,0.25,1425,105
4,164,0.25,1182,105
5,136,0.25,1182,105
6,150,0.25,1182,105
7,172,0.25,1182,105
8,164,0.25,1303,105
9,136,0.25,1303,105
10,150,0.25,1303,105
11,172,0.25,1303,105
12,164,0.25,1495,105
13,136,0.25,1495,105
14,150,0.25,1495,105
15,172,0.25,1495,105
16,164,0.25,1425,88
17,136,0.25,1425,88
18,150,0.25,1425,88
19,172,0.25,1425,88
20,164,0.25,1182,88
21,136,0.25,1182,88
22,150,0.25,1182,88
23,172,0.25,1182,88
24,164,0.25,1303,88
25,136,0.25,1303,88
26,150,0.25,1303,88
27,172,0.25,1303,88
28,164,0.25,1495,110
29,136,0.25,1495,110
30,150,0.25,1495,110
31,172,0.25,1495,110
32,164,0.25,1425,110
33,136,0.25,1425,110
34,150,0.25,1425,110
35,172,0.25,1425,110
36,164,0.25,1182,110
37,136,0.25,1182,110
38,150,0.25,1182,110
39,172,0.25,1182,110
40,164,0.25,1303,110
41,136,0.25,1303,110
42,150,0.25,1303,110
43,172,0.25,1303,110
44,164,0.25,1495,110
45,136,0.25,1495,110
46,150,0.25,1495,110
47,172,0.25,1495,110
48,203,0.25,1425,105
49,203,0.25,1764,105
50,203,0.25,1425,130
51,203,0.25,1764,130
52,14,0.25,1425,9
53,14,0.25,122,9
54,14,0.2,1425,9
55,14,0.2,122,9
56,14,0.3,1425,9
57,14,0.3,122,9
